data_for_id,imb_open,imb_close,Open,High,Low,Close,ser_no,imb_diff
1733,50366.55078125,50372.05078125,50354.75,50366.55078125,50343.75,50363.1484375,1716.0,5.5
1734,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1734,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1734,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1734,50366.55078125,50372.05078125,50354.75,50366.55078125,50343.75,50363.1484375,1716.0,5.5
1735,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1735,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1735,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1735,50366.55078125,50372.05078125,50354.75,50366.55078125,50343.75,50363.1484375,1716.0,5.5
1736,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1736,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1736,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1736,50366.55078125,50372.05078125,50354.75,50366.55078125,50343.75,50363.1484375,1716.0,5.5
1737,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1737,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1737,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1737,50366.55078125,50372.05078125,50354.75,50366.55078125,50343.75,50363.1484375,1716.0,5.5
1738,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1738,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1738,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1738,50366.55078125,50372.05078125,50354.75,50366.55078125,50343.75,50363.1484375,1716.0,5.5
1739,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1739,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1739,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1739,50366.55078125,50372.05078125,50354.75,50366.55078125,50343.75,50363.1484375,1716.0,5.5
1740,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1740,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1740,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1740,50366.55078125,50372.05078125,50354.75,50366.55078125,50343.75,50363.1484375,1716.0,5.5
1741,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
